reference_material,detected_material,areas_reference,areas_detected,num_matched_peaks,start_point_reference,last_point_reference,start_point_detected,last_point_detected
fe_cr,fe,"[6.0792, 6.1261]",[6.065],0,0.0,144.0,1909,2054
fe_cr,cr,"[6.0792, 6.1261]",[6.0626],0,49.0,144.0,1852,1997
fe_cr,nao3,"[6.0792, 6.1261]","[6.0863, 6.202, 5.9162, 6.6791, 6.0813, 6.1717, 5.9158, 6.0447]",0,1083.0,1265.0,818,2154
fe_cr,co,"[6.0792, 6.1261]","[5.9214, 6.1853, 6.0965, 6.22, 6.0869, 5.8536, 6.0403, 6.2389, 5.9255, 5.93, 5.9023, 5.8771, 5.8429, 6.1021]",0,1901.0,2083.0,0,2249
fe_cr,co,"[6.0792, 6.1261]",[5.9084],0,0.0,110.0,1973,2117
fe_cr,cu2o,"[6.0792, 6.1261]","[6.1735, 6.0916, 6.0479]",0,741.0,785.0,1160,1946
fe_cr,al2o3,"[6.0792, 6.1261]","[6.1448, 5.9009, 5.9019, 5.8992, 5.9008]",0,947.0,1129.0,954,2129
fe_cr,ti,"[6.0792, 6.1261]","[5.8975, 6.1415, 6.0812]",0,,,1459,1857
fe_cr,ti,"[6.0792, 6.1261]","[6.1854, 5.8995]",0,307.0,456.0,1594,2051
fe_cr,cr,"[6.0792, 6.1261]",[6.093],0,6.0,145.0,1895,2041
fe_cr,fe,"[6.0792, 6.1261]",[5.8987],0,0.0,117.0,1966,2110
fe_cr,v,"[6.0792, 6.1261]",[5.8983],0,115.0,143.0,1786,1930
fe_cr,cao,"[6.0792, 6.1261]","[5.9143, 6.1764]",0,,,1291,1695
fe_cr,mgo,"[6.0792, 6.1261]","[6.1427, 6.0599]",0,381.0,443.0,1520,1964
fe_cr,zn,"[6.0792, 6.1261]","[6.0902, 5.8954, 6.0539]",0,407.0,492.0,1494,1987
fe_cr,ni,"[6.0792, 6.1261]",[5.8978],0,0.0,131.0,1952,2096
fe_cr,li20,"[6.0792, 6.1261]","[6.0498, 6.0556]",0,,,1359,1774
fe_cr,bao2,"[6.0792, 6.1261]","[6.1666, 6.1067, 5.9012, 6.0674, 6.169, 5.9293]",0,910.0,1092.0,991,2227
fe_cr,mn,"[6.0792, 6.1261]",[6.2157],0,0.0,146.0,1923,2070
fe_cr,fe,"[6.1225, 6.066]",[6.065],0,0.0,144.0,1909,2054
fe_cr,cr,"[6.1225, 6.066]",[6.0626],0,43.0,144.0,1852,1997
fe_cr,nao3,"[6.1225, 6.066]","[6.0863, 6.202, 5.9162, 6.6791, 6.0813, 6.1717, 5.9158, 6.0447]",0,1077.0,1277.0,818,2154
fe_cr,co,"[6.1225, 6.066]","[5.9214, 6.1853, 6.0965, 6.22, 6.0869, 5.8536, 6.0403, 6.2389, 5.9255, 5.93, 5.9023, 5.8771, 5.8429, 6.1021]",0,1895.0,2095.0,0,2249
fe_cr,co,"[6.1225, 6.066]",[5.9084],0,0.0,122.0,1973,2117
fe_cr,cu2o,"[6.1225, 6.066]","[6.1735, 6.0916, 6.0479]",0,735.0,785.0,1160,1946
