/////////////////////////////////////////////////////////////////////////////////
/// Profile Data Ascii Dump (XRD)                                             ///
/////////////////////////////////////////////////////////////////////////////////

  Group     : TPU
  Data      : Ti3AlC2_1250C_100MPa_5min
  File Name : Ti3AlC2_1250C_100MPa_5min.RAW

# Profile Datafile
          comment             = Ti3AlC2_1250C_100MPa_5min 
          date & time         = 04-30-20 12:36:31 

# Measurement Condition
    X-ray tube
          target              = Cu 
          voltage             = 40.0 (kV)
          current             = 30.0 (mA)
    Slits
          divergence slit     = 1.00000 (deg) 
          scatter slit        = 0.00000 (deg) 
          receiving slit      = 0.00000 (mm)  
    Scanning
          drive axis          = Theta-2Theta 
          scan range          =    5.000 -   90.013 
          scan mode           = ?????? 
          scan speed          =   5.0000 (deg/min) 
          sampling pitch      =   0.0143 (deg) 
          preset time         =  42.97 (sec) 

# Data      [ Total No. = 5946 ]
  <2Theta>   <   I   >
     5.0000      5675
     5.0143      5654
     5.0286      5612
     5.0429      5652
     5.0572      5678
     5.0715      5807
     5.0858      5801
     5.1001      5569
     5.1144      5782
     5.1287      5536
     5.1430      5598
     5.1573      5780
     5.1716      5734
     5.1859      5703
     5.2002      5758
     5.2145      5826
     5.2288      5686
     5.2431      5690
     5.2574      5758
     5.2717      5751
     5.2860      5725
     5.3003      5760
     5.3146      5678
     5.3289      5742
     5.3432      5745
     5.3575      5498
     5.3718      5386
     5.3861      5399
     5.4004      5549
     5.4147      5489
     5.4290      5340
     5.4433      5437
     5.4576      5506
     5.4719      5464
     5.4862      5506
     5.5005      5583
     5.5148      5594
     5.5291      5395
     5.5434      5530
     5.5577      5458
     5.5720      5528
     5.5863      5448
     5.6006      5463
     5.6149      5404
     5.6292      5537
     5.6435      5469
     5.6578      5471
     5.6721      5491
     5.6864      5623
     5.7007      5350
     5.7150      5205
     5.7293      5354
     5.7436      5296
     5.7579      5262
     5.7722      5304
     5.7865      5268
     5.8008      5349
     5.8151      5321
     5.8294      5322
     5.8437      5376
     5.8580      5371
     5.8723      5305
     5.8866      5180
     5.9009      5384
     5.9152      5346
     5.9295      5545
     5.9438      5499
     5.9581      5387
     5.9724      5351
